
X,Y
-6.326383428893940675e+00,1.511524120629531009e-01
-7.152414572204548904e+00,7.199826503896538110e-01
2.363314747261350934e+00,4.466500842425418782e-01
-2.823355947351220419e+00,8.950049200824660156e-01
-3.765028514826948669e+00,-5.716776505236990102e-01
-9.937613651229510126e+00,-3.868097995638365205e+00
1.942681881266331123e+00,6.342843658660862749e-01
-6.867092087363953823e+00,-5.766832601085386756e+00
-1.009081077375748237e+01,-5.469534833878374691e+00
-3.916399952137764373e+00,8.111508310464590199e-01
-9.808596178487952955e+00,-6.943026214643360561e+00
1.328217853735227605e+00,2.266011453697118760e-01
-2.823404270345807987e+00,3.582678652473378023e+00
1.823998226569479852e+00,2.083310580399735379e-01
-8.901983591028809428e+00,-6.451543989959994896e+00
-4.910049866039811306e+00,-1.358275861843704746e+00
1.378593060283168636e+00,5.732818811488612498e-01
-1.055614085703477834e+01,-5.978412343997302258e+00
-8.971840276974303308e+00,-6.042117234130714998e+00
-9.255680682222607203e+00,-6.744031624077560849e+00
1.799493835785817009e+00,1.427846287979082751e+00
-1.936788141333554147e+00,-1.550115862373802944e+00
1.773665729700261151e+00,4.412031774377553894e-01
-4.455005865691038736e+00,2.910371944410510725e+00
-3.867878943480496545e+00,2.500498981857255387e-01
-9.985752104328673440e+00,-3.981103746344370364e+00
